image_hash,family_shown,assigned_family,decision,notes,url_link,caption
ea30bd7e7207aaa7a6409f49ea460f44,temporal_transformation,,discard,,http://4.bp.blogspot.com/_wFEgQXH8AyQ/TL69KSGe08I/AAAAAAAABTQ/bxOOh38PwU4/S692/europe+in+my+hands.jpg,"""Creative hand art transforming into representations of {Country} with detailed {Maps}."""
fc74b9662779dab4a79e45f95266cca8,temporal_transformation,,discard,discard,http://getgags.com/images/items/big/EAGGWNGK9J8L3JHIRE1ZV6SWX.jpg,Innovative way to transform regular {Food} into creative {Faces} with the use of {Ingredients} and {Tools}.
f55b60c9a935834ea147badeb2553e73,temporal_transformation,,fits,,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/bae76985-7a1a-49e4-b25f-b851e73cd15d/dchzfag-50188a71-a559-455f-9ba0-9d12218df60a.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwic3ViIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsImF1ZCI6WyJ1cm46c2VydmljZTpmaWxlLmRvd25sb2FkIl0sIm9iaiI6W1t7InBhdGgiOiIvZi9iYWU3Njk4NS03YTFhLTQ5ZTQtYjI1Zi1iODUxZTczY2QxNWQvZGNoemZhZy01MDE4OGE3MS1hNTU5LTQ1NWYtOWJhMC05ZDEyMjE4ZGY2MGEucG5nIn1dXX0.f86XCIV_hnnE8LWksDCYsNW5Pk8Tc7iep4er-xnHpAA,"Follow the detailed development of {Subject} as it progresses from rough sketches to polished final art, incorporating fine details and precise proportions."
e0d85e6e729648fecbb55b244855c2ec,temporal_transformation,,discard,,https://us.123rf.com/450wm/chekman/chekman1603/chekman160300191/54524160-glowing-lightbulb-plant-coming-out-of-flowerpot-business-growth-concept-with-idea-light-bulb--vector.jpg?ver=6,Visual representation of {Plant} growing from a {Bag} of {Ideas}.
e4464a6a66795e36c73ee8ba4e352c46,temporal_transformation,,discard,,https://ksr-ugc.imgix.net/assets/011/155/364/99316028b7d7e338b7217b54fecf0fdc_original.png?w=680&fit=max&v=1462902478&auto=format&lossless=true&s=d1fb131659e25bc170b28e1b310f70a8,The transformation of {Subject} into an artistic representation using {Style} and {Medium}.
fde8b0483cad6ebcffd97dd83dce8fd2,temporal_transformation,,discard,,https://img.freepik.com/free-photo/oasted-coffee-beans-background-yellow-flower_5207-413.jpg?size=626&ext=jpg,"A scene showcasing {Growth} in {Environment}, with {Plant} sprouting from {Seed/Matter}"
ee038f9360b36ae1ae555cc320a797fa,temporal_transformation,,discard,,https://img.cutenesscdn.com/640/clsd/11/2/ac0d151f728b45bb98f82ff056647be0.jpg,The process of {Object} being modified using {Material} to transform it into a new {Creation}.
ea45a82b83357e43752e1b7a8a25cbcc,temporal_transformation,,discard,,https://images.squarespace-cdn.com/content/v1/568690b01115e06a4a17acb2/1460042078287-KTISYPZFN6IT6OG0S09Q/ke17ZwdGBToddI8pDm48kKAGTuyRrJpg8i89wxVwO71Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIiW8y5t8kg646_0F5HXcvvr92gLiLlAnATZlcXk7d9qwKMshLAGzx4R3EDFOm1kBS/Tips+for+Moving+With+Kids,People wearing {Cardboard Boxes} creatively transformed into {Faces} while surrounded by {Objects} that mimic smiles and expressions.
e6276610a71f7f65691f804d88eab74e,temporal_transformation,,discard,,http://www.digyourowngrave.com/content/carved_melons/melon_04.jpg,Creative carvings of {Fruit} transformed into various {Animals} or {Objects} with intricate details.
e38397f130ee548a9471287de7056667,temporal_transformation,,discard,,"http://t12.deviantart.net/wBvcRsfdMrq-J8ICqyofbI3-Z90=/fit-in/700x350/filters:fixed_height(100,100):origin()/pre05/12e4/th/pre/i/2014/288/5/7/skull_ronnie_mena_by_selyachan-d82wb6x.jpg",Unique face art using {Creative Design} and {Unique Patterns} to transform real-life {Person} into artistic {Character} or {Theme}.
