image_hash,family_shown,assigned_family,decision,notes,url_link,caption
eafce65497f780e2f5ef9faac35af09b,compositional_formation,,discard,,https://us.123rf.com/450wm/thailerd/thailerd1908/thailerd190800012/129212878-school-bus-icon-vector-bus-illustration-design-element-with-four-color-variations-vector-illustratio.jpg?ver=6,"Different versions of a {Symbol} appear in various {Colors} and {Shapes}, creating a cohesive design collection."
e0594a93373cd094b2b0b5b32087666b,compositional_formation,,discard,,https://thumbnails.yayimages.com/e/6a8/e6a85f8.jpg,A visually engaging pattern made by {Flowers} on a {Background}.
e069faaf0b2e71c0ec297a3287b304ca,compositional_formation,,discard,,https://us.123rf.com/450wm/versusstudio/versusstudio1910/versusstudio191000151/132068723-concrete-room-wall-construction-on-cloudy-sky-background-abstract-architecture-design-concept-3d-ren.jpg?ver=6,"A visually striking design showcasing {Pattern} repeated throughout, with {Element} forming an artistic and dynamic composition."
ef4ec05fa4727c4d73cc48eca310fb95,compositional_formation,,discard,,https://awritetoknow.com/wp-content/uploads/2015/08/Eye-with-Earth-Eyeball-dark-grey-Pupil.jpg,"A creative fusion of a {Symbol} within a human eye, representing {Concept or Idea}."
f4740de37b073e4e5f10b52b7abd3576,compositional_formation,,discard,,https://furnish.co.uk/photos/items/regular/cushions/454313/cushions-3148203.jpg,"An artistic arrangement of {Objects} on a {Surface}, highlighting unique aesthetics and vibrant designs."
f0824151c257b61e9cff9772f8515025,compositional_formation,,discard,,https://ccts.uic.edu/wp-content/uploads/sites/569/2019/10/solution_puzzlepiece-500x500.jpg,Visuals of {Hands} connecting matching {Rounded Pieces} to form a {Complete Structure}
f60a6d5fe7e5536a5011e6fb6efea80a,compositional_formation,,discard,,http://kccm.nl/wp-content/uploads/2015/09/PortraitJoelNieminen-378x476.jpg,People posing in front of an artistic arrangement of {Shapes} and {Colors} on a {Background}.
fe29bcfdada4c456b89ad1b90781e432,compositional_formation,,discard,,https://static.boredpanda.com/blog/wp-content/uploads/2017/08/cover_image_59a523be1b40b__700.jpg,"A color wheel showcasing {Object} arranged by shades of {Color}, paired with its real-life equivalent in {Item/Setting}."
f20641eb4879182f536cc9556a4fd008,compositional_formation,,discard,,https://i.pinimg.com/736x/86/8e/a6/868ea6cd929441ade662cf9989a48c5f--guinea-pig-hutch-guinea-pig-house.jpg,"""Creative integration of {Animal} into a miniature {Structure} to form a whimsical scene."""
f7f2191179e226b24aa8a20d9297f0f5,compositional_formation,,fits,,https://cdn.shopify.com/s/files/1/2297/0353/products/United-States-Map-Sticker_600x.jpg?v=1553216844,"An artistic depiction of {Region}'s iconic symbols and landmarks arranged within the map outline, highlighted by diverse {Color} and {Details}."
fad73d053ef4388e8e237ce8845db9a5,compositional_formation,,discard,,http://tmp-img-cdn.recycler.com/recycler/listing/500x375/a9dfd658e461015550fab9c42e675051.jpg,A group of {Animals} gathered closely together in an inviting or communal arrangement.
f3b7f230282e4d94752423bd1dd5cd24,compositional_formation,,fits,,https://mangiarebuono.it/wp-content/uploads/2013/10/Fotolia_19415933_Subscription_Monthly_M.jpg,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.
e602b6e92f6c54573e1bb4ad48667e69,compositional_formation,,fits,,http://cute-n-tiny.com/wp-content/uploads/2010/05/cute-penguin-bento-400x300.jpg,Imaginative food arrangements transforming {Ingredients} into recognizable {Shapes} or {Characters}.
fc683e94cb4be2d131b24505e4c214ee,compositional_formation,,discard,,https://viraldazed.com/wp-content/uploads/2017/08/giant-panda-solar-power-china.jpeg,Aerial view of solar panels arranged in the shape of {Animal} on a {Surface}.
fe7ffeed018a83ddbf9ffd3849e7d15e,compositional_formation,,discard,,https://cdn.superstock.com/1532/Download/1532R-35878.jpg,A unique presentation of {Food Item} shaped like a {Theme/Object}.
f1543d14e8581813c5395817763b88b3,compositional_formation,,discard,,https://img0.etsystatic.com/000/0/5148237/il_340x270.194600264.jpg,Artistic representations of {Symbol} integrated into a {Surface/Material} to produce a unique {Object}
fe75aa53f7b88e4a8f40d24ecac76dab,compositional_formation,,discard,,http://doc.asika.tw/images/2014/04/mini-star-wars/miniature-star-wars-adventures-0031.jpg,"""Creative representation of {Tactile Objects} arranged to mimic {Human Poses} and {Interactions} in imaginative settings."""
ef6fccb2e09ee8f5382659f145c724e1,compositional_formation,,discard,,https://us.123rf.com/450wm/franckito/franckito1209/franckito120900196/15426959-3d-rendering-of-a-selection-of-cubic-fruits.jpg?ver=6,"An arrangement of {Fruits} in a grid showcasing a variety of {Colors}, {Shapes}, and {Types}."
f2a23d7181c8079fbf20f3245d2d1284,compositional_formation,,discard,,http://render.fineartamerica.com/images/rendered/default/greeting-card/images/artworkimages/medium/1/1-shoes-in-a-beach-chair-joana-kruse.jpg?&targetx=0&targety=-24&imagewidth=500&imageheight=749&modelwidth=500&modelheight=700&backgroundcolor=F9FAF9&orientation=1,A {Background Object} paired with a {Clothing Item} to form a stylish combination.
fdbe1790432807941dc8a782009be472,compositional_formation,,discard,,https://us.123rf.com/450wm/kho/kho1402/kho140200077/26250902-shopping-and-sale-female-legs-with-shoes-assortment-young-woman-put-shoes-on-in-shop-and-makes-her-c.jpg?ver=6,"""Arrangement of {Person} with various pairs of {Shoes} in different styles, heights, or occasions."""
