image_hash,family_shown,assigned_family,decision,notes,url_link,caption
f2ca22b8f0c8689313458f9747b1ffa1,temporal_transformation,,fits,,https://lh6.ggpht.com/LiihdLifP6-fcXU1rA5VpMkqL-u8yOVKnQowbzq5EIn2g7AaCJeobIwadIi0PBmk6KE=h900,Step-by-step depiction of transforming {Subject} into a {Theme/Transformation}.
fbf1dbb17f24c8521d3f41c8795106b4,temporal_transformation,,discard,,https://i.pinimg.com/736x/a2/aa/3a/a2aa3a27cc47e94b5e366ed56b5e2327.jpg,"A {Tree} growing directly out of a {Enclosed Space}, blending nature with architecture."
f108ec6516705fd5370439c06a1e9e90,temporal_transformation,,discard,,https://us.123rf.com/450wm/sunshinesmile/sunshinesmile1203/sunshinesmile120300090/12676289-iranian-flag-butterfly-isolated-on-white.jpg?ver=6,A butterfly with wings designed after the flag of {Country}.
ec08493b332e34f67466a3e600de4cd6,temporal_transformation,,fits,,https://cdn.shopify.com/s/files/1/0292/5664/6690/products/0540DAE7-23E4-411E-B699-11C2DE5751F7_800x800_crop_center.jpg?v=1605458516,"The evolution of a {Subject} into a detailed {Completed Sculpture}, showcasing the artistic transformation from initial concept to finished piece."
f2d737ed82f6ac96676359c074b464bc,temporal_transformation,,discard,,http://vuing.com/wp-content/uploads/2016/08/painting-animals-Portraits-Feather-1.jpg,Artistic depictions of {Object} transformed into detailed {Animal} illustrations.
dfaea76f6feb71af9edc4d6dae028b99,temporal_transformation,,fits,,https://theawesomer.com/photos/2010/06/061510_Anti_Theft_Lunch_Bag_3.jpg,"Visuals highlighting {Food} in different conditions: fresh versus decayed, packaged versus spoiled, or uncooked versus overcooked."
e3de6a329c319969bed266128980fb8d,temporal_transformation,,fits,,https://ucnrs.org/wp-content/uploads/images/2011/03/Frogs-300x280.jpg,"A visual representation of the life cycle of a {Animal}, showing the evolution from {Stage 1} through {Stage 2}, {Stage 3}, and concluding with {Stage 4}."
efcc1fd066c02dfcf57323d14baea88b,temporal_transformation,,discard,,http://tse4.mm.bing.net/th?id=OIP.9kbl3B0ECBYxwgcjCQP4CQHaE8,"Origami creations transforming {Material} into diverse {Characters}, {Animals}, or {Objects}."
e69ba9d3cb34cd1b8326d6eff7c291df,temporal_transformation,,fits,,https://us.123rf.com/450wm/weerapat/weerapat1611/weerapat161100251/67303082-hand-watering-green-plants-growing-on-a-pile-of-golden-coins--green-business-and-investment--busines.jpg?ver=6,"Visual representation of {Plant} growing from stacked {Coins}, illustrating {Growth} or {Accumulation}."
e46f6f4ad0a4f0a92be66a45742c90c9,temporal_transformation,,discard,,https://images-na.ssl-images-amazon.com/images/I/51bdZdsB4sL.jpg,A progression of {Action} by {Subject} captured across different moments in {Environment}.
df0cc03b0c3137c4b8a9cdb2e79aa405,temporal_transformation,,discard,,https://www.editingcorp.com/wp-content/uploads/C-America.jpg,Visual representation of {Character} transforming into a {Object} to embody their unique traits or personality.
df1b938f2a1ca13417adf0bdb5dbbb81,temporal_transformation,,discard,,https://content.instructables.com/ORIG/FB8/5BGP/IJSV2ORU/FB85BGPIJSV2ORU.jpg?auto=webp&frame=1&width=600,Imaginative use of {Materials} to transform an ordinary office space into a playful {Theme/Setting}.
e0680228848fcc4566d18d2acfbec71b,temporal_transformation,,discard,,http://cdn.trendhunterstatic.com/thumbs/halloween-cat-eye-look.jpeg,"Imaginative makeup designs transforming {Face} into artistic depictions of {Animals}, complete with intricate details and vibrant {Colors}."
e1e028e5ea82c9621c1718dbf8d8b8ee,temporal_transformation,,discard,,https://d3wo5wojvuv7l.cloudfront.net/t_square_limited_720/images.spreaker.com/original/3cd36b8daffb00fa98cf0512b3e6cdb5.jpg,"Visuals of {Fruit} transforming into a living seedling, illustrating the cycle of {Life}."
f95d829ba94b5360ac8ba8af1aa4bb25,temporal_transformation,,discard,,https://www.renemagritte.org/images/paintings/the-mysteries-of-the-horizon.jpg,"Artwork showcasing {Figures} with {Moon Phases} integrated into their heads, creating a unique visual representation of {Moon Stages}."
fb7b6e94580999e3834855b2a9b200db,temporal_transformation,,discard,,https://discovercal.berkeley.edu/sites/default/files/styles/lecture_masonry/public/series_img/2013_Oct_Startups.jpg?itok=-zjFhepW&amp;c=9ee2f4633b69215264b064a88d946770,A {Animal} casting a shadow that transforms into the shape of another {Animal}.
e2b56cd05fa912ab335f96a8fb2657fa,temporal_transformation,,fits,,https://tse4.mm.bing.net/th?id=OIP.E6-hFxwen3i0FCFNUDk_pgHaHa&pid=Api&P=0&w=300&h=300,Step-by-step guide on transforming {Material} into an elegant {Flower}.
f2ab04113fd3cda6d09cda9f2fe43094,temporal_transformation,,discard,,https://www.perrywood.co.uk/wp-content/uploads/Create-a-bulb-lasagne-for-a-bold-spring-display-267x400.jpg,"A depiction of {Plant Species} planted in soil, showcasing the arrangement of {Roots} and {Stems} for growth."
ff08d41fcc3c0348f27a47a924b1b332,temporal_transformation,,discard,,http://img.youtube.com/vi/N3rUTNLAD6E/hqdefault.jpg,Artists transform {Shrub} into the shape of {Animal}.
f6875b4ab38c43cc05aadde4063d41b5,temporal_transformation,,fits,,"https://static.wixstatic.com/media/d17fe1_1a078d2399d14147a2099b78f1b6fd12~mv2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90/d17fe1_1a078d2399d14147a2099b78f1b6fd12~mv2.jpg",Progression of {Species} through various {Stages of Development} over time.
f94a21c7fb389f76bc0c4744a4c0205c,temporal_transformation,,discard,,https://www.gannett-cdn.com/presto/2019/05/08/PMAN/feac5a6c-7024-41fd-a421-192eeabdfafc-sneeringer_cat.jpg?width=660&height=496&fit=crop&format=pjpg&auto=webp,"""Rescue workers carefully carrying {Animal} after a {Situation}."""
e857a90df6820cbd960c1ac2a7851d1f,temporal_transformation,,discard,,https://www.astronarrative.com/images/capricorn-56-a-dark-archway-and-ten-logs-at-the-bottom-21839751.jpg,Visual representation of {Action} leading to a transformation into a new {Environment} or {State}.
fd3de63d15d1ecf61e3b263b042a441a,temporal_transformation,,discard,,https://ak-d.tripcdn.com/images/350112000000rwhv887CC_C_670_770_Q70.jpg_.webp?proc=source/trip;namelogo/d_40,A unique {Natural Formation} transformed into a {Face} with remarkable {Eyes} and {Smile}.
ebcd46cf0fa1b6e220460c70c0f5098f,temporal_transformation,,fits,,https://cdn-images.threadless.com/threadless-media/artist_shops/shops/MaroDek/products/958116/shirt-1553241425-0015b72cbc8c735e1a64720a0033ecc7.png?v=3&d=eyJvbmx5X21ldGEiOiBmYWxzZSwgImZvcmNlIjogZmFsc2UsICJvcHMiOiBbWyJpZl8iLCBbeyJ0IjogImV4cHIiLCAidiI6IFsiaGFzX2FscGhhIiwgbnVsbCwgbnVsbF19LCB7InQiOiAiY29tcCIsICJ2IjogWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9zaG9wcy9NYXJvRGVrL3Byb2R1Y3RzLzk1ODExNi9zaGlydC0xNTUzMjQxNDI1LTAwMTViNzJjYmM4YzczNWUxYTY0NzIwYTAwMzNlY2M3LnBuZyIsIFtbInRyaW0iLCBbdHJ1ZSwgZmFsc2VdLCB7fV0sIFsicmVzaXplIiwgWzU0OC41NzE0Mjg1NzE0Mjg2LCA0MTEuNDI4NTcxNDI4NTcxNF0sIHsibWF4X3NjYWxlIjogMi4wfV0sIFsiY2FudmFzX2NlbnRlcmVkIiwgWzY4NS43MTQyODU3MTQyODU3LCA1MTQuMjg1NzE0Mjg1NzE0Ml0sIHsiYmFja2dyb3VuZCI6ICJmZmZmZmYifV1dXX0sIHsidCI6ICJjb21wIiwgInYiOiBbInRocmVhZGxlc3MtbWVkaWEvYXJ0aXN0X3Nob3BzL3Nob3BzL01hcm9EZWsvcHJvZHVjdHMvOTU4MTE2L3NoaXJ0LTE1NTMyNDE0MjUtMDAxNWI3MmNiYzhjNzM1ZTFhNjQ3MjBhMDAzM2VjYzcucG5nIiwgW1sicmVzaXplIiwgWzY4NS43MTQyODU3MTQyODU3LCA1MTQuMjg1NzE0Mjg1NzE0Ml0sIHsibWF4X3NjYWxlIjogMi4wfV0sIFsiY2FudmFzX2NlbnRlcmVkIiwgWzY4NS43MTQyODU3MTQyODU3LCA1MTQuMjg1NzE0Mjg1NzE0Ml0sIHsiYmFja2dyb3VuZCI6ICJmZmYifV1dXX1dLCB7fV0sIFsiZW5jb2RlIiwgWyIucG5nIl0sIHsiZHBpIjogMzAwfV0sIFsicmVzaXplIiwgWzE2MjRdLCB7fV0sIFsib3ZlcmxheSIsIFsidGhyZWFkbGVzcy1tZWRpYS9hcnRpc3Rfc2hvcHMvb3ZlcmxheXMvMTlmMTQ5MTQ2YmM5NjAxNjIwOGUwMTEwMDllMjlmMzcvZnJvbnQtMTQ3MzI3NTc1Mi05ODgzZWZkYmI4MGNlOTg4N2JjZTlkYWZjZWVmOWE0Zi5wbmciXSwgeyJ5IjogMzkxLCAieCI6IDE4OCwgImJhY2tncm91bmQiOiAiZmZmZmZmIn1dLCBbInJlc2l6ZSIsIFs4MDBdLCB7fV0sIFsiY2FudmFzX2NlbnRlcmVkIiwgWzgwMCwgODAwLCAiI2ZmZmZmZiJdLCB7fV0sIFsiZW5jb2RlIiwgWyJqcGciLCA4NV0sIHt9XV19,"""Sequential stages of {Animal} performing a {Movement/Action} captured in multiple frames."""
