image_hash,family_shown,assigned_family,decision,notes,url_link,caption
e7690b95e2d3d4bc27183493d044f5c9,temporal_transformation,,discard,,https://us.123rf.com/450wm/bedolaga/bedolaga1106/bedolaga110600004/9724788-lightbulb-with-plant-growing-inside.jpg?ver=6,Creative integration of {Plant} and {Light Bulb} to symbolize the transformation of nature into energy or sustainability.
ec2087cfa18adcf17acd61bd62506205,temporal_transformation,,discard,,https://cdn5.eyeem.com/thumb/838156ffa45e7e9f3e0ed9202981f173847eb838-1448960455450/w/400,"Hydrants exposed by melting {Snow} on {Surface}, with {Hydrant Color} standing out against {Background Color}."
e3841e1bc397dd0d9234ffa61c315bbb,temporal_transformation,,discard,,https://images.indianexpress.com/2018/07/blood-moon-lunar-eclipse_759_getty-images.jpg,The evolution of {Celestial Object}'s appearance as it transitions through different stages of {Alignment} with the Sun or another {Object}.
f480febf75aaca4d5b35aa957a7ace24,temporal_transformation,,discard,,https://4.bp.blogspot.com/-paSC3swlYGk/VyZJZ0dAzZI/AAAAAAAAIWk/iEJ8s2pSRv4Ef-IipddIN9HZOSBXQO_hQCLcB/s640/Images%2Bgallery%2Bof%2Bstreet%2Bart%252C%2Bthe%2Bbest%2Bunauthorized%2Bart%2Bin%2Bthe%2Bworld%2B%25281%2529.png,Artistic murals transforming {Surface} into backdrops for vivid {Characters} in lively scenes.
f2ee4ada249cd0732ebd671d3a48a774,temporal_transformation,,discard,,http://radshot.com/wp-content/uploads/2013/01/Snowboard-Photo-Rider-Visnap-Gap-Tallinn-by-Neimann1-700x457.jpg,"An extraordinary display of {Athlete} mid-air after jumping off {Surface}, surrounded by urban or natural surroundings."
e7e6f86963593ac28e89f7927367cd36,temporal_transformation,,discard,,https://us.123rf.com/450wm/lightwise/lightwise1610/lightwise161000020/63825902-stock-illustration-pumpkin-tree-concept-with-a-witch-and-mummy-monster-trimming-an-orange-jack-o-lantern-plant-as-a-hal.jpg?ver=6,Visuals showcasing {People} transforming a {Tree} into a {Foliage-Free Structure}.
f10325749ac3ee18b0aff435a595a047,temporal_transformation,,discard,,https://www.dealsanimg.com/d/l400/pict/161525985404_/10x-clear-white-mesh-pot-net-cup-basket-hydroponic.jpg,"Visual representation of the {Process} of {Object}, highlighting the different stages from {Stage 1} to {Stage n}."
e602b6e92f6c54573e1bb4ad48667e69,temporal_transformation,,boundary_reject,,http://cute-n-tiny.com/wp-content/uploads/2010/05/cute-penguin-bento-400x300.jpg,Imaginative food arrangements transforming {Ingredients} into recognizable {Shapes} or {Characters}.
e0fa6b5ae10efedbd0d7132ab05cf39f,temporal_transformation,,fits,,https://images-na.ssl-images-amazon.com/images/I/417Dc3ix1yL._SL480_.jpg,"A series of images showcasing {Action} performed by a {Person} with a {Object}, highlighting the progression of {Motion}."
e21d6504d352830ab076256736f498d7,temporal_transformation,,fits,,https://photos.smugmug.com/Trips/2015-Portland/i-k7Z5sR8/6/c588a0ff/S/Lunar%20Eclipse%206%20Sequence-S.jpg,"The progression of {Celestial Event} across its stages, including changes in {Appearance}, {Color}, and {Moon/Planet Position}."
ee953ff12c34b2f60b88fb5878522865,temporal_transformation,,discard,,"https://static.wixstatic.com/media/801b32_0ad8c2e2bc694abba017e7ff58313ca1~mv2.jpg/v1/fill/w_498,h_498,al_c,q_85,usm_0.66_1.00_0.01/801b32_0ad8c2e2bc694abba017e7ff58313ca1~mv2.jpg","Creative use of {Burning Technique} to produce intricate designs on {Material}, resulting in unique {Artwork}."
f6273653ba6f897264c8bbb0579e66c5,temporal_transformation,,discard,,https://www.toxel.com/wp-content/uploads/2016/02/embrocket09.jpg,"Creative embroidery designs integrated onto {Object}, transforming ordinary pieces into one-of-a-kind artworks."
f0e8ce2cddac3c8fdb2925387fc29a0f,temporal_transformation,,discard,,http://www.artofthediet.com/wp-content/uploads/2015/08/rainbow-carrots-allium-950x475.jpg,Transformations of {Vegetable} into imitations of {Animal} or {Object} through clever designs.
ebd67189cf79d3ab02d0a14cbb5c4247,temporal_transformation,,fits,,http://notedlist.com/wp-content/uploads/2015/07/wine-barrel-project-ideas/6-wine-barrel-project-ideas.jpg,"""Creative transformation of repurposed {Object} into functional {Dog Bed} with unique design and artistic details."""
fdca6bc49342e81a5e792fe3fc9a8674,temporal_transformation,,discard,,https://si.wsj.net/public/resources/images/BN-VE335_WORKFA_P_20170919101157.jpg,A clever depiction of {Object} using a graduate's {Graduation Cap} and a weather vane {Direction Indicators}.
