image_hash,family,url_link,caption,group,download_ok
e21d6504d352830ab076256736f498d7,temporal_transformation,https://photos.smugmug.com/Trips/2015-Portland/i-k7Z5sR8/6/c588a0ff/S/Lunar%20Eclipse%206%20Sequence-S.jpg,"The progression of {Celestial Event} across its stages, including changes in {Appearance}, {Color}, and {Moon/Planet Position}.",anchor,False
e675a1f38cc186ac1ab0eab2c0a81e94,,http://render.fineartamerica.com/images/rendered/medium/greeting-card/images-medium/high-voltage-in-the-new-york-city-skyline-susan-candelario.jpg,"Lightning striking over a {Cityscape} during a stormy night, showcasing the dynamic energy of nature against urban life.",background_random,False
e98bbaad16eb2b04835d633f41682145,,https://natureconservancy-h.assetsadobe.com/is/image/content/dam/tnc/nature/en/photos/F_Okavango_1.jpg?wid=640,"Groups of {Animals} standing on reflective water, creating mirrored images against a {Background}",background_random,False
fbce0d46bc36f1a6789d0c2e6c7b5ac4,,"https://images.jpost.com/image/upload/f_auto,fl_lossy/t_JD_ArticleMainImage/224822",Creative sculptures featuring {Figures} interacting with everyday {Objects} in imaginative or artistic ways.,background_random,False
ebc9fdf3d51eeb5da860783307097174,,http://mediad.publicbroadcasting.net/p/shared/npr/styles/placed_wide/nprshared/201810/648245695.jpg,A creative representation of {Character} showcasing a unique combination of {Hair Style} and {Clothing}.,background_random,False
e3419c311fa97b0d4611e9e9487bc7cb,,https://spaceplug.com/media/catalog/product/cache/1/small_image/370x370/170ec19af00183b5e0368529fc2daa2f/C/o/Coffinmouth.jpg,"A surreal artwork featuring anthropomorphic {Animal} with human characteristics, set in imaginative or artistic settings.",background_random,False
eb031ef11c2db4e2402e08b8a482ec58,,https://cdn-japantimes.com/wp-content/uploads/2014/06/p1-s2-nuke-risks-z-20140606-870x489.jpg,"Illuminated {Shaped Objects} positioned against a dark background, producing a striking contrast and artistic effect.",background_random,False
ea9ff327b4cd8ae3f63c1bd99b2fbf58,,https://girishduttshuklaco20dcd.zapwp.com/q:maximum/retina:false/webp:false/w:814/url:https://girishduttshukla.com/wp-content/uploads/2019/07/5b889cb23115c29e34ef9ae302b7f63e-814x1024.jpg,A depiction of {Person} engaging in the process of drawing {Ink/Character} onto {Paper/Surface}.,background_random,False
f9ac4cdafadafdec9c2aec1321183143,,https://www.vet4you.ca/uploads/w5uBZjXu/705x0_1088x0/swimmingoverweightpugsm.jpeg,Animals floating in water with a {Animal}-shaped inflatable {Object}.,background_random,False
ecbadc32bc47632e40cf0c6c8367ceb6,,https://www.motociclismo.es/uploads/static/motociclismo/upload/images/imagegallery/3064/imagenes/0804-redbull-5.jpg,Innovative {Rider} executing an awe-inspiring {Trick} on a {Vehicle} in midair against a {Background}.,background_random,False
f61953077059eb07db4213b77c0fcc6d,,https://i0.wp.com/theverybesttop10.com/wp-content/uploads/2015/12/Top-10-Very-Patient-Dogs-Waiting-In-Lines-And-Queues-4.jpg?resize=600%2C645,"""Group of {Animals} arranged in a line, showcasing their diverse {Colors}, {Sizes}, or {Types} on a shared {Background}""",background_random,False
f18afbc23b2358cec08a6b06ec9e9276,,https://cdn.foreverbarcelona.com/wp-content/uploads/2021/09/top-rated-antoni-gaudi-works-in-barcelona.png,"Exploring the transition from initial {Design/Concept} to final {Execution/Structure}, showcasing the intricate evolution in {Style/Architecture}.",background_random,False
ee5fe7582462757f77683b4e6a17d2da,,http://img.kb-cdn.com/imgviewer/NVpIM2ptOHhYRzVmUk5rM1NrNlFxYVV6enV4aGk2UFRJMmxPckdDUUVNYmlUZlpSWEd5RjBGUk0xbitjMjJKSFNKOWVDcVRZTkRjbTlRZ1Riek9zaVdzMVRraUFmdEtscGpMYTFBbGN1bGJKUGw5UXRySC81SG1EZFZjSFg5UU44ZGIvQUowcGVxSUljN01KMXE0NDhwQkQvbk8zNW5OcFU3ampHNUJnSlBpYkluaHgrdkFXN080ZEY1TTlpZThKOGpLQ1dlUFQ3cGJ3cW93SU12TlUzbWtBWGs1K0xxNGhkNENidVhhQXo1ST0=?square=0,A heart shape crafted from {Food Items} in a creative and artistic way.,background_random,False
